orbit,piece,x0,y0,x1,y1,x2,y2
EDGES,UF,0,0,1,0,,
EDGES,UR,3,0,4,0,,
EDGES,UB,6,0,7,0,,
EDGES,UL,9,0,10,0,,
EDGES,DF,12,0,13,0,,
EDGES,DR,15,0,16,0,,
EDGES,DB,18,0,19,0,,
EDGES,DL,21,0,22,0,,
EDGES,FR,24,0,25,0,,
EDGES,FL,27,0,28,0,,
EDGES,BR,30,0,31,0,,
EDGES,BL,33,0,34,0,,
CORNERS,UFR,36,0,37,0,38,0
CORNERS,URB,40,0,41,0,42,0
CORNERS,UBL,44,0,45,0,46,0
CORNERS,ULF,48,0,49,0,50,0
CORNERS,DRF,52,0,53,0,54,0
CORNERS,DFL,56,0,57,0,58,0
CORNERS,DLB,60,0,61,0,62,0
CORNERS,DBR,64,0,65,0,66,0
CENTERS,U,68,0,,,,
CENTERS,L,70,0,,,,
CENTERS,F,72,0,,,,
CENTERS,R,74,0,,,,
CENTERS,B,76,0,,,,
CENTERS,D,78,0,,,,
