orbit,piece,x0,y0,x1,y1,x2,y2
CORNERS,UFR,7,3,7,4,8,4
CORNERS,URB,7,0,11,4,12,4
CORNERS,UBL,4,0,15,4,0,4
CORNERS,ULF,4,3,3,4,4,4
CORNERS,DRF,7,8,8,7,7,7
CORNERS,DFL,4,8,4,7,3,7
CORNERS,DLB,4,11,0,7,15,7
CORNERS,DBR,7,11,12,7,11,7
CENTERS3,U2F2R,6,2,,,,
CENTERS3,U2R2B,6,1,,,,
CENTERS3,U2B2L,5,1,,,,
CENTERS3,U2L2F,5,2,,,,
CENTERS3,D2R2F,6,9,,,,
CENTERS3,D2F2L,5,9,,,,
CENTERS3,D2L2B,5,10,,,,
CENTERS3,D2B2R,6,10,,,,
CENTERS3,F2R2U,6,5,,,,
CENTERS3,L2F2U,2,5,,,,
CENTERS3,R2B2U,10,5,,,,
CENTERS3,B2L2U,14,5,,,,
CENTERS3,F2U2L,5,5,,,,
CENTERS3,L2U2B,1,5,,,,
CENTERS3,R2U2F,9,5,,,,
CENTERS3,B2U2R,13,5,,,,
CENTERS3,F2L2D,5,6,,,,
CENTERS3,L2B2D,1,6,,,,
CENTERS3,R2F2D,9,6,,,,
CENTERS3,B2R2D,13,6,,,,
CENTERS3,F2D2R,6,6,,,,
CENTERS3,L2D2F,2,6,,,,
CENTERS3,R2D2B,10,6,,,,
CENTERS3,B2D2L,14,6,,,,
EDGES2,UF2R,6,3,6,4,,
EDGES2,UR2B,7,1,10,4,,
EDGES2,UB2L,5,0,14,4,,
EDGES2,UL2F,4,2,2,4,,
EDGES2,DR2F,7,9,9,7,,
EDGES2,DF2L,5,8,5,7,,
EDGES2,DL2B,4,10,1,7,,
EDGES2,DB2R,6,11,13,7,,
EDGES2,FR2U,7,5,8,5,,
EDGES2,LF2U,3,5,4,5,,
EDGES2,RB2U,11,5,12,5,,
EDGES2,BL2U,15,5,0,5,,
EDGES2,FU2L,5,4,5,3,,
EDGES2,LU2B,1,4,4,1,,
EDGES2,RU2F,9,4,7,2,,
EDGES2,BU2R,13,4,6,0,,
EDGES2,FL2D,4,6,3,6,,
EDGES2,LB2D,0,6,15,6,,
EDGES2,RF2D,8,6,7,6,,
EDGES2,BR2D,12,6,11,6,,
EDGES2,FD2R,6,7,6,8,,
EDGES2,LD2F,2,7,4,9,,
EDGES2,RD2B,10,7,7,10,,
EDGES2,BD2L,14,7,5,11,,
