orbit,piece,x0,y0,x1,y1,x2,y2
EDGES2,UF2R,8,4,8,5,,
EDGES2,UR2B,9,1,13,5,,
EDGES2,UB2L,6,0,18,5,,
EDGES2,UL2F,5,3,3,5,,
EDGES2,DR2F,9,11,11,9,,
EDGES2,DF2L,6,10,6,9,,
EDGES2,DL2B,5,13,1,9,,
EDGES2,DB2R,8,14,16,9,,
EDGES2,FR2U,9,6,10,6,,
EDGES2,LF2U,4,6,5,6,,
EDGES2,RB2U,14,6,15,6,,
EDGES2,BL2U,19,6,0,6,,
EDGES2,FU2L,6,5,6,4,,
EDGES2,LU2B,1,5,5,1,,
EDGES2,RU2F,11,5,9,3,,
EDGES2,BU2R,16,5,8,0,,
EDGES2,FL2D,5,8,4,8,,
EDGES2,LB2D,0,8,19,8,,
EDGES2,RF2D,10,8,9,8,,
EDGES2,BR2D,15,8,14,8,,
EDGES2,FD2R,8,9,8,10,,
EDGES2,LD2F,3,9,5,11,,
EDGES2,RD2B,13,9,9,13,,
EDGES2,BD2L,18,9,6,14,,
EDGES,UF,7,4,7,5,,
EDGES,UR,9,2,12,5,,
EDGES,UB,7,0,17,5,,
EDGES,UL,5,2,2,5,,
EDGES,DF,7,10,7,9,,
EDGES,DR,9,12,12,9,,
EDGES,DB,7,14,17,9,,
EDGES,DL,5,12,2,9,,
EDGES,FR,9,7,10,7,,
EDGES,FL,5,7,4,7,,
EDGES,BR,15,7,14,7,,
EDGES,BL,19,7,0,7,,
CORNERS,UFR,9,4,9,5,10,5
CORNERS,URB,9,0,14,5,15,5
CORNERS,UBL,5,0,19,5,0,5
CORNERS,ULF,5,4,4,5,5,5
CORNERS,DRF,9,10,10,9,9,9
CORNERS,DFL,5,10,5,9,4,9
CORNERS,DLB,5,14,0,9,19,9
CORNERS,DBR,9,14,15,9,14,9
CENTERS3,U2F2R,8,3,,,,
CENTERS3,U2R2B,8,1,,,,
CENTERS3,U2B2L,6,1,,,,
CENTERS3,U2L2F,6,3,,,,
CENTERS3,D2R2F,8,11,,,,
CENTERS3,D2F2L,6,11,,,,
CENTERS3,D2L2B,6,13,,,,
CENTERS3,D2B2R,8,13,,,,
CENTERS3,F2R2U,8,6,,,,
CENTERS3,L2F2U,3,6,,,,
CENTERS3,R2B2U,13,6,,,,
CENTERS3,B2L2U,18,6,,,,
CENTERS3,F2U2L,6,6,,,,
CENTERS3,L2U2B,1,6,,,,
CENTERS3,R2U2F,11,6,,,,
CENTERS3,B2U2R,16,6,,,,
CENTERS3,F2L2D,6,8,,,,
CENTERS3,L2B2D,1,8,,,,
CENTERS3,R2F2D,11,8,,,,
CENTERS3,B2R2D,16,8,,,,
CENTERS3,F2D2R,8,8,,,,
CENTERS3,L2D2F,3,8,,,,
CENTERS3,R2D2B,13,8,,,,
CENTERS3,B2D2L,18,8,,,,
CENTERS2,U2F,7,3,,,,
CENTERS2,U2R,8,2,,,,
CENTERS2,U2B,7,1,,,,
CENTERS2,U2L,6,2,,,,
CENTERS2,D2R,8,12,,,,
CENTERS2,D2F,7,11,,,,
CENTERS2,D2L,6,12,,,,
CENTERS2,D2B,7,13,,,,
CENTERS2,F2R,8,7,,,,
CENTERS2,L2F,3,7,,,,
CENTERS2,R2B,13,7,,,,
CENTERS2,B2L,18,7,,,,
CENTERS2,F2U,7,6,,,,
CENTERS2,L2U,2,6,,,,
CENTERS2,R2U,12,6,,,,
CENTERS2,B2U,17,6,,,,
CENTERS2,F2L,6,7,,,,
CENTERS2,L2B,1,7,,,,
CENTERS2,R2F,11,7,,,,
CENTERS2,B2R,16,7,,,,
CENTERS2,F2D,7,8,,,,
CENTERS2,L2D,2,8,,,,
CENTERS2,R2D,12,8,,,,
CENTERS2,B2D,17,8,,,,
CENTERS,U,7,2,,,,
CENTERS,L,2,7,,,,
CENTERS,F,7,7,,,,
CENTERS,R,12,7,,,,
CENTERS,B,17,7,,,,
CENTERS,D,7,12,,,,
